timestamp,station_id,rainfall,temperature,humidity,wind_speed,wind_dir,iso_outlier,rainfall_diff,rainfall_temporal_outlier,temperature_diff,temperature_temporal_outlier,humidity_diff,humidity_temporal_outlier,wind_speed_diff,wind_speed_temporal_outlier,wind_dir_diff,wind_dir_temporal_outlier,temperature_stat_outlier,humidity_stat_outlier,wind_speed_stat_outlier,wind_dir_stat_outlier,rainfall_stat_outlier,temperature_outlier,humidity_outlier,wind_speed_outlier,wind_dir_outlier,rainfall_outlier
2025-01-06 05:50:00,Gisenyi,0.0,14.0,,2.0,29.0,False,0.0,False,0.09999999999999964,False,,False,0.0,False,3.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:00:00,Gisenyi,0.0,14.3,,1.8,33.0,False,0.0,False,0.3000000000000007,False,,False,0.19999999999999996,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:10:00,Gisenyi,0.0,14.2,,1.6,38.0,False,0.0,False,0.10000000000000142,False,,False,0.19999999999999996,False,5.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:20:00,Gisenyi,0.0,14.5,,1.4,42.0,False,0.0,False,0.3000000000000007,False,,False,0.20000000000000018,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:30:00,Gisenyi,0.0,14.3,,1.8,33.0,False,0.0,False,0.1999999999999993,False,,False,0.40000000000000013,False,9.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:40:00,Gisenyi,0.0,15.0,,1.5,38.0,False,0.0,False,0.6999999999999993,False,,False,0.30000000000000004,False,5.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 06:50:00,Gisenyi,0.0,15.9,,1.4,38.0,False,0.0,False,0.9000000000000004,False,,False,0.10000000000000009,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 07:00:00,Gisenyi,0.0,16.4,,1.4,42.0,False,0.0,False,0.4999999999999982,False,,False,0.0,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 07:10:00,Gisenyi,0.0,17.0,,1.5,29.0,False,0.0,False,0.6000000000000014,False,,False,0.10000000000000009,False,13.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 07:20:00,Gisenyi,0.0,17.4,,1.0,44.0,False,0.0,False,0.3999999999999986,False,,False,0.5,False,15.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 07:30:00,Gisenyi,0.0,17.9,,0.8,53.0,False,0.0,False,0.5,False,,False,0.19999999999999996,False,9.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:00:00,Gisenyi,0.0,19.4,,0.7,13.0,False,0.0,False,0.29999999999999716,False,,False,0.19999999999999996,False,6.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:10:00,Gisenyi,0.0,20.4,,1.3,189.0,False,0.0,False,1.0,False,,False,0.6000000000000001,False,176.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:20:00,Gisenyi,0.0,21.4,,1.8,190.0,False,0.0,False,1.0,False,,False,0.5,False,1.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:30:00,Gisenyi,0.0,21.6,,2.6,183.0,False,0.0,False,0.20000000000000284,False,,False,0.8,False,7.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:40:00,Gisenyi,0.0,21.9,,2.7,192.0,False,0.0,False,0.29999999999999716,False,,False,0.10000000000000009,False,9.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 08:50:00,Gisenyi,0.0,22.3,,3.0,188.0,False,0.0,False,0.40000000000000213,False,,False,0.2999999999999998,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:00:00,Gisenyi,0.0,22.6,,3.7,206.0,False,0.0,False,0.3000000000000007,False,,False,0.7000000000000002,False,18.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:10:00,Gisenyi,0.0,22.4,,3.6,186.0,False,0.0,False,0.20000000000000284,False,,False,0.10000000000000009,False,20.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:20:00,Gisenyi,0.0,22.8,,3.5,199.0,False,0.0,False,0.40000000000000213,False,,False,0.10000000000000009,False,13.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:30:00,Gisenyi,0.0,23.3,,3.7,203.0,False,0.0,False,0.5,False,,False,0.20000000000000018,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:40:00,Gisenyi,0.0,23.0,,4.0,191.0,False,0.0,False,0.3000000000000007,False,,False,0.2999999999999998,False,12.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 09:50:00,Gisenyi,0.0,22.9,,4.0,186.0,False,0.0,False,0.10000000000000142,False,,False,0.0,False,5.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 10:00:00,Gisenyi,0.0,23.2,,4.4,207.0,False,0.0,False,0.3000000000000007,False,,False,0.40000000000000036,False,21.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 10:10:00,Gisenyi,0.0,23.2,,4.4,195.0,False,0.0,False,0.0,False,,False,0.0,False,12.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 10:40:00,Gisenyi,0.0,23.3,,4.5,212.0,False,0.0,False,0.09999999999999787,False,,False,0.2999999999999998,False,7.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 10:50:00,Gisenyi,0.0,23.7,,4.3,214.0,False,0.0,False,0.3999999999999986,False,,False,0.20000000000000018,False,2.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 11:00:00,Gisenyi,0.0,23.9,,4.5,211.0,False,0.0,False,0.1999999999999993,False,,False,0.20000000000000018,False,3.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 11:10:00,Gisenyi,0.0,23.9,,4.5,204.0,False,0.0,False,0.0,False,,False,0.0,False,7.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 11:40:00,Gisenyi,0.0,25.3,,4.6,207.0,False,0.0,False,0.40000000000000213,False,,False,0.40000000000000036,False,8.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 14:30:00,Gisenyi,0.0,25.8,,4.5,225.0,False,0.0,False,0.3000000000000007,False,,False,0.7000000000000002,False,9.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 14:40:00,Gisenyi,0.0,25.7,,4.4,229.0,False,0.0,False,0.10000000000000142,False,,False,0.09999999999999964,False,4.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 14:50:00,Gisenyi,0.0,25.9,,4.0,222.0,False,0.0,False,0.1999999999999993,False,,False,0.40000000000000036,False,7.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:00:00,Gisenyi,0.0,25.9,,3.6,242.0,False,0.0,False,0.0,False,,False,0.3999999999999999,False,20.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:10:00,Gisenyi,0.0,25.6,,4.1,244.0,False,0.0,False,0.29999999999999716,False,,False,0.49999999999999956,False,2.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:20:00,Gisenyi,0.0,25.7,,3.7,244.0,False,0.0,False,0.09999999999999787,False,,False,0.39999999999999947,False,0.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:30:00,Gisenyi,0.0,25.5,,3.9,253.0,False,0.0,False,0.1999999999999993,False,,False,0.19999999999999973,False,9.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:40:00,Gisenyi,0.0,25.5,,3.1,265.0,False,0.0,False,0.0,False,,False,0.7999999999999998,False,12.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 15:50:00,Gisenyi,0.0,25.2,,3.7,280.0,False,0.0,False,0.3000000000000007,False,,False,0.6000000000000001,False,15.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 16:00:00,Gisenyi,0.0,25.2,,3.5,275.0,False,0.0,False,0.0,False,,False,0.20000000000000018,False,5.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 16:10:00,Gisenyi,0.0,25.3,,3.7,252.0,False,0.0,False,0.10000000000000142,False,,False,0.20000000000000018,False,23.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 16:20:00,Gisenyi,0.0,24.9,,3.0,266.0,False,0.0,False,0.40000000000000213,False,,False,0.7000000000000002,False,14.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 16:30:00,Gisenyi,0.0,24.8,,2.9,274.0,False,0.0,False,0.09999999999999787,False,,False,0.10000000000000009,False,8.0,False,False,False,False,False,False,False,False,False,False,False
2025-01-06 16:40:00,Gisenyi,0.0,24.6,,3.3,279.0,False,0.0,False,0.1999999999999993,False,,False,0.3999999999999999,False,5.0,False,False,False,False,False,False,False,False,False,False,False
